بی حال و سست	کسل
جیره غذایی روزانه	مواجب
نوازش شده	نواخته
پرخور	شکمو
مدرسه خردسالان	مهد
آواز دهنده	هاتف
نامی هندی	سیتا
شکوفه کردن درخت	اناره
ارائه ذوق و خلاقیت	هنرنمایی
چسبناک	نوچ
پشت سر	قفا
بی خبر از پیاده	سواره
از پیامبران بنی‌اسرائیل	عزرا
نیروی جاذبه	گرانش
نتایج	ثمرات
گرو گذاشتن	رهن
یکی از سه موعود زرتشت	هشیدر
برنا و جوان	شاب
تکرار حرف	لل
گلابی	امروح
ترسو	بددل
جنین	دشتک
واحد شار مغناطیسی	وبر
زشت و قبیح	مستهجن
دردمندی	الم
از پیامبران	لوط
هرج و مرج	بلبشو
دوره آخر عصر سنگ	نوسنگی
کار اصلی رادارها	ردیابی
از انواع نان	لواش
راهزن	دزد
از آرنج تا مچ دست	ساعد
آن که کفش دوزد و فروشد	کفاش
گوهری سبز رنگ	زمرد
رنگ زرد روشن	لیمویی
جسور و بی پروا	گستاخ
جمع غده	غدد
از رنگ ها	صورتی
ابتدا و آغاز	بدو
پند و آموزه	عبرت
خودداری	ابا
کباب شده	بریان
فرمانروای بردگان	اسپارتاکوس
باختر	مغرب
یک ششم چیزی	دانگ
مادر کوروش	ماندانا
باد و باران	بوران
پاکسازی قنات	لایروبی
میله بتون	ارماتور
بزرگ قوم	زعیم
از وسایل بازی در پارک ها	الاکلنگ
کوکبه و جلال	کیابیا
خسیس	شح
آرزوها	امیال
گریه بچه	ونگ
خدای انگلیسی	گاد
شهری در سوئیس	ژنو
مثل اضافه شدن مشکلی بر مشکلات دیگر	قوزبالایقوز
راه و جاده	گذر
به کلیه جانداران که در روی زمین زندگی می کنند	حیاتوحش
لقب اشرافی اروپایی	بارونس
التماس ‌کننده	ملتمس
خوراک برگ پیچ شده	دلمه
مکان خلوت	دنج
سقف فرو ریخته	اوار
بازیگر فیلم یک‌ذهن‌زیبا	راسلکرو
شهر بی دفاع	رم
قصه های کوچک	متل
عمارت	بنا
خپل و فربه	چاق
کوه خشمگین!	اتشفشان
زن کمرباریک	هیفا
نامی دخترانه	هلمیا
بد ریخت و بدشکل	زشت
باز دارنده	رادع
زینت داده شده	اراسته
اندیشه	ایده
فیلمی به کارگردانی استیون اسپیلبرگ	امیستاد
فیلمی به کارگردانی ساموئل خاچیکیان	یوزپلنگ
تهیدست و فقیر	بینوا
مهمانی شبانه	شبنشینی
گویند که اگر آنرا بخواهید باید جور هندوستان را بکشید	طاووس
ظرف خمير دندان	تیوب
نوعى ‌نارنگی	یافا
سمیع	شنوا
حیله گران	رنود
هر چیز کوچک	صغری
عصبانیت و غمگین‌بودن	ناراحتی
پرآوازه و نامدار	مشتهر
اثر تاریخی سنندج	عمارتمشیر
سرپوش	نهنبن
شهری در مازندران	امل
چوب‌ خوشبو	ند
شهری در استان‌سمنان	گرمسار
کشوری آسیایی به پایتختی سیول	کرهجنوبی
فیلمی از عباس رافعی	رازمینا
Emphasis	تاکید
یائسه و عقیم	نازا
غذای ‌رشته‌ای	ماکارونی
از گیاهان طبی	یربتون
بددهان و دشنام‌گو	هتاک
پرچم	درفش
باریک بین	دقیق
جادوگر تاريخي	اسیدم
تازه، جدید	نو
شکر گفته شده	مشکور
امر به آوردن	ار
سرما خوردگی	زکام
برای اینکه	چون
نوعی خودرو	ون
خنده بر آن می نشیند	لب
بالشتک سرشانه	اپل
از ماه های فرنگی	اوریل
انتقال دهنده	ناقل
داروی خوشبو	عبیر
گاز درون لامپ مهتابی	نیون
ی ی ی ح	یحیی
سرآغاز کتاب	عنوان
سنجاب کارتونی	بنر
از پرندگان	سینهسرخ
غیر قابل تحمل	طاقتفرسا
باعث گرفتاری و ماندگی	دامنگیر
توانایی خواندن و نوشتن	سواد
ضمیر	باطن
از وسایل آشپزخانه	هاون
دوشیزه لاتین	میس
استخوان شانه	کتف
اندیشه	رای
دختر امام علی (ع)	امکلثوم
مخفیانه	پنهانی
برآمدگی ته کفش	اج
زیبا چهره	خوبرو
پلکان	مرقات
بهره و نصیب	قسمت
قرارگاه	ستاد
عبور کالا از مرز بدون گمرکی	ترانزیت
برافروخته	ملتهب
آماده و مهیا	تیار
خاکستر	اتری
نوعی سلاح سرد	قمه
مرد بلند بینی	اشم
نشان دادن	نمودن
صدای کوبیدن‌در	تق
از نشانه‌های جمع‌ فارسی	ها
از بازیگران سریال اخراجی‌ها	محمدرضاشریفینیا
فروشنده محل	کاسب
112	ناکام
از سرداران کوروش بزرگ	ابرداد
روشن تر	انور
خواربار فروش	بقال
گیاه فیلگوش	ارن
پهلوان	یکهبزن
اثر تاریخی تهران	کاخمرمر
آدم بدجنس و بد هیبت	نسناس
بدیهی و واضح	هویدا
از قبایل ژرمن ساکن در بریتانیا	انگل
ادا کردن ، انجام دادن	گزاردن
حرف اول الفبای فارسی	الف
آبزن	جکوزی
ساختمان سازی	بنایی
صورت و چهره	رخسار
از ماه‌های فصل بهار	خرداد
حیوان مسابقه	اسب
نوعی نوشیدنی	دلستر
دارويي جهت درمان يبوست	متیلسلولز
همسر زن	شوی
مالیخولیایی و مجنون	سودازده
شیشه و قرابه	کپ
وقت و بی وقت	گاهوبیگاه
واحد پول قدیم هلند	فلورن
برگزیده قوم	خاصه
ضد بیرون	درون
خرابکاری اینترنتی	هک
واژه ای برای ابراز موفقیت	اکی
272	انکار
نویسنده فرانسوی	روسو
کبوتر پیام رسان	نامهبر
خشمگین	دژم
کنایه از آدم لجوج	یکدنده
اثر دیدنی معروف ساری	میدانساعت
شغل شوفر	رانندگی
حسد	بخل
جمع فن	فنون
از صفات خداوند	منان
دندان فیل	عاج
داد و فریاد توخالی	اهنوتلپ
روز گذشته	دی
هدهد	بدک
بهشت و پردیس	مینو
از پرندگان جنگلی	ابیا
صمغ مغناطیسی	کهربا
فیلمی با بازی ادی مورفی	نوربیت
میدانی در اصفهان	نقشجهان
مشک	اناب
سوره هفتادم قرآن	معارج
زمانه	دهر
بسته شدن	انعقاد
گاوباز	ماتادر
پیچ و تاب	شکن
زندان مسعود سعد سلمان	نای
وفات	رحلت
اکنون	حالا
موقعیت مساعد	اکازیون
چاره ‌اندیشی	تدبیر
از اشکال هندسی	لوزی
پایتخت افغانستان	کابل
چابکی و چالاکی	جلدی
جواب دهنده	پاسخگو
کتاب دینی یهودیان	تورات
زمین پر آب و علف	ریف
ماهی فروش	سماک
وسیله تولید برق	توربین
نویسنده، مورخ، مترجم و شاعر کُرد ایرانی بود	یاسمی
عجز و التماس	لابه
کرمینه	لارو
پرنده ای از نوع ماکیان	طاووس
اشکال کار	گیر
دستمزد وکيل	حقالوکاله
نامی دخترانه	ایدا
نوعی رنگ قرمز	جگری
ستایشگر	حامد
ورقه سیمانی	ایرانیت
کار سرسری	سمبل
بدخو و تندخو	بداخلاق
لقب حضرت عیسی(ع)	روحالله
واحد فرکانس	هرتز
میزان گرمی و سردی	دما
یار چوپان	نی
در هم و بر هم	زیرورو
استخوان شانه 	کتف
ویرایش	ادیت
سرپرست	قیم
پایتخت روآندا	کیگالی
فیلمی از عزیزالله بهادری	سلامبرعشق
آزاد شدن. رهایی یافتن	رستهشدن
درخت ليمو	جیدب
خلبان	هوانورد
ابر و مه غلیظ	میغ
از بازیگران فیلم گل یخ	گلابادینه
رشیدتر و باکفایت تر بودن	ارشدیت
اغتشاش	انارشی
پنهان کردن	کتمان
رفتار اجتماعی	هنجار
دیبافروش	دباج
گوناگون بودن	تنوع
یار آقا	خانم
شخص و کس	نفر
2	سفالی
انبار مهمات و اسلحه	زرادخانه
پادشاه بزرگ ایلام که معبد زیگورات چعازنبیل را بنا کرد	اونتاشگال
حداد و آهنگر	نهامین
هم ریش	باجناق
فعالیت ابتکاری	هنر
چسبیدن به چیزی	رتخ
چوپان	گلهبان
کنیز حضرت فاطمه(س)	فضه
رود مرزی ایران	ارس
بُرنده نیست	کند
رنگین کمان	ترسه
کساد و بی رونق	سوتوکور
حالت مرغ روی تخم	کرچ
محل تغذیه جنین	ناف
فضیحت و رسوایی	ویله
از واحدهای جرم	اونس
خال	تیل
لاجرم و ناگزیر	ناچار
وزیر افراسیاب	ویسه
ناشی و غیرحرفه ای	اماتور
ارفاق فرنگی	اوانس
از آثار دیدنی شیراز	بندامیر
اسیدی در معده انسان	کلریدریک
فیلمی از محمد عرب	داشاکل
پدربزرگ	جد
درفش کفاشان	دشم
تمام کردن	اتمام
یکی از سه گروه بزرگ آریایی	قومپارت
حرف تصدیق عامیانه	اها
پوستی	جلدی
شریک غم دیگری	همدرد
نگهبان جاده	راهدار
جور و ستم کردن	جفا
هلاک شدن	تلف
ازتابلوهای ونگوگ	شخمزنها
خوشبخت	بلنداختر
نفقه	جرا
م و ل	لوم
نام دخترانه فرانسوي	ژینوس
قسمتی از پا	قوزک
دانه گیاه	تخم
بخش زیبای گل	گلبرگ
دست ‌مالیدن	لمس
من و شما	ما
سیاهه و فهرست	لیست
نوعی گیاه علوفه	یولاف
قتل با نقشه قبلی	ترور
سبکی	طیره
نادانی	جهل
چرم پرزدار	جیر
باغ وحش بیگانه	زو
آهوی بسیار زیبا	مارال
دو رنگ	دوتا
نمدمال	لباد
Train	قطار
از لوازم آرایش	رژ
له شده	وارفته
نوعی زردآلو	قیسی
نوعی نمد نامرغوب	لهکی
وسیله ‌اتصال به اینترنت	مودم
خرقه درویش	شولا
درخت تاک	رزان
گیاهی از تیره روناسیان	روین
فیلمی است ایرانی ساخته عباس کیارستمی	ده
به‌طور خودکار	اتوماتیک
بکر	دوشیزه
دارای یک جهت	همسو
اراده قوی	تمه
زن و فرزند	حرم
بخشی از بدن	کمر
همچون تندر	رعداسا
کار پر خطر	ریسک
فرشته حامل وحی خداوند	جبرییل
از اساطیر یونانی	ادونیس
از انواع فشنگ	مشقی
دامنه کوه	دمن
بناگوش ها	اصداغ
کتاب شاعر	دیوان
شهرت طلب	نامجو
درجه نظامی	ستوان
از شهرهای استان‌مرکزی	پرندک
شمشیر انگلیسی	سورد
لاغر و ضعیف	لاجون
پسر	بنین
lesson	درس
جانی و آدمکش	قاتل
زن بهشتی	حورا
سوار بی همتا	یکهتاز
نوعی آلوچه وحشی	امله
دندانه سوهان	جا
نوعی پارچه	مخمل
حق تشکر	شکرانه
مرکز ایالت آلاسکا	جونیو
شادی و سرور	جشن
از شهرهای اصفهان	هرند
پنهان کردن	اخفا
دست آموز	رام
بنفش پررنگ	کبود
رشد	نمو
حق ناحق سازمان‌ملل	وتو
